CRO,BOS,59.89225258
KUW,IRQ,60.13904265
CHN,RUS,60.37936585
RUS,POL,61.67610628
IRQ,IRN,62.16111046
ALB,MAC,62.38446324
USA,IRQ,62.42529891
USA,IRQ,62.64195021
USA,IRQ,62.73182911
USA,IRQ,62.78340089
IRQ,SAU,62.94642436
RUS,GRG,62.98044094
ALB,YUG,63.00044752
ALB,YUG,63.02324039
RUS,AFG,63.03133804
RUS,GRG,63.12496103
RUS,GRG,63.23838613
RUS,AFG,64.27857224
ISR,SYR,64.30120385
ISR,LEB,64.3327406
AFG,RUS,64.4134449
AFG,TAJ,64.45145006
CRO,BOS,64.78383693
RUS,AFG,64.88243346
RUS,AFG,64.93030347
LEB,ISR,65.02797909
IRN,IRQ,65.37879296
ISR,SYR,65.60142137
ISR,LEB,65.62977888
USA,IRQ,65.73352421
RUS,AFG,66.18724455
RUS,AFG,66.21321484
AFG,RUS,66.24165531
ISR,LEB,66.45938488
RUS,AFG,66.58211636
CHN,VTM,66.69243007
RUS,AFG,66.93712169
YUG,ALB,67.29440356
TKM,AFG,67.38523862
TAJ,AFG,67.3878881
RUS,AFG,67.38922275
KZK,AFG,67.39050707
KYR,AFG,67.39427645
UZB,AFG,67.40111672
KYR,AFG,67.42513547
RUS,AFG,67.43478672
KZK,AFG,67.43815827
UZB,AFG,67.43835154
YUG,ALB,68.09852853
AFG,RUS,68.14590344
ALB,YUG,68.485367
AZE,ARM,68.73158856
IRQ,USA,68.81616879
ISR,LEB,68.84281628
ISR,SYR,68.87027597
IRN,ARM,70.37500084
CRO,BOS,70.40814511
TUR,ARM,70.59400421
TUR,ARM,70.61452505
TUR,ARM,70.62358643
TUR,ARM,70.63492075
TUR,ARM,70.65069946
TUR,ARM,70.66967375
TUR,ARM,70.74989711
TUR,RUS,71.11784371
PAK,IND,72.30438883
CRO,BOS,72.89350642
CRO,BOS,73.9818359
KYR,AFG,74.67889859
KZK,AFG,74.68762019
UZB,AFG,74.69623786
RUS,AFG,74.69650132
TAJ,AFG,74.69915174
CYP,TUR,75.52286101
USA,YUG,75.96456907
IRQ,KUW,75.98945013
FRN,HAI,76.02601735
USA,HAI,76.03094741
ARG,HAI,76.03580814
CAN,HAI,76.03824648
UKG,HAI,76.23461591
NTH,HAI,76.23734556
GRG,RUS,76.92697779
RUS,GRG,76.98478144
CRO,BOS,77.66012918
CRO,BOS,77.68960901
PRK,USA,78.12996716
PRK,ROK,78.17397855
PAK,IND,78.37278261
USA,PRK,78.41952007
TUR,YUG,78.50435309
CRO,BOS,78.6227668
IRQ,KUW,78.74537274
IRQ,KUW,79.94530776
GRC,YUG,80.05451817
SPN,YUG,80.0560509
BEL,YUG,80.06026806
USA,YUG,80.06085671
NTH,YUG,80.06667299
UKG,YUG,80.06713406
GMY,YUG,80.06888886
FRN,YUG,80.06960388
ITA,YUG,80.07011124
RUS,JPN,80.65159611
YUG,ALB,81.86298349
ISR,LEB,82.68969505
IRQ,USA,83.88022243
CRO,BOS,84.47921377
ISR,LEB,84.59870189
THI,CAM,84.91232527
YUG,BOS,84.93223897
CRO,BOS,84.958714
